Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Fiat,Tipo,,Light grey,Benzine,2,2.5,Automatic,510.0,Tagamo3 - New Cairo,1,2
Fiat,Shahin,,Green,Benzine,0,2.5,Manual,46.0,Cairo,1,28
Hyundai,Elantra MD,,Cyan,Benzine,13,2.5,Automatic,440.0,10th of Ramadan,1,11
Hyundai,Elantra,,Black,Benzine,19,2.5,Automatic,310.0,Cairo,1,16
Chevrolet,Lanos,,Red,Benzine,11,2.5,Manual,160.0,Alexandria,1,10
Hyundai,Verna,,Cyan,Benzine,20,2.5,Manual,170.0,El Salam City,1,19
Hyundai,Matrix,,White,Natural Gas,10,2.5,Automatic,235.0,Mansoura,1,19
Hyundai,Excel,,Red,Benzine,0,2.5,Manual,70.0,Beni Suef,1,26
Fiat,131,,White,Benzine,0,2.5,Manual,31.0,El Salam City,1,44
Chevrolet,Optra,,Dark blue,Benzine,4,2.5,Automatic,390.0,Tagamo3 - New Cairo,1,2
Fiat,Shahin,,Dark red,Benzine,0,2.5,Manual,55.0,El Haram,1,24
Fiat,128,,Red,Benzine,9,2.5,Automatic,28.0,Luxor,1,44
Chevrolet,Optra,,Eggplant,Benzine,17,2.5,Automatic,350.0,Cairo,1,3
Hyundai,Matrix,,Dark blue,Benzine,12,2.5,Automatic,285.0,El Mahalla,1,14
Fiat,Uno,,Dark green,Benzine,22,2.5,Manual,75.0,Cairo,1,30
Fiat,Shahin,,White,Natural Gas,0,2.5,Manual,55.0,Dakahlia,1,20
Fiat,131,,White,Benzine,0,2.5,Manual,37.0,Cairo,1,42
Hyundai,H1,,White,Natural Gas,0,2.5,Manual,65.0,Monufia,1,29
Fiat,Tempra,,Silver,Benzine,16,2.5,Manual,65.0,Alexandria,1,31
Hyundai,Accent RB,,Gray,Benzine,1,2.5,Automatic,447.0,Mohandessin,1,1
Fiat,Tipo,,White,Benzine,3,2.5,Automatic,500.0,Kerdasa,1,2
Hyundai,Accent HCI,,Silver,Benzine,2,2.5,Automatic,295.0,Faiyum,1,3
Chevrolet,Optra,,Dark blue,Benzine,7,2.5,Automatic,320.0,Agamy,1,6
Fiat,125,,Red,Benzine,0,2.5,Manual,22.0,Tanta,1,44
Fiat,Shahin,,Silver,Benzine,0,2.5,Manual,65.0,Menouf,1,24
Hyundai,Elantra HD,,Brown,Benzine,19,2.5,Automatic,340.0,Giza,1,6
Hyundai,Elantra AD,,White,Benzine,3,2.5,Automatic,640.0,Nasr city,1,3
Hyundai,Excel,,Petroleum,Benzine,0,2.5,Manual,58.0,Tagamo3 - New Cairo,1,26
Hyundai,Elantra MD,,Light grey,Benzine,7,2.5,Automatic,405.0,Zagazig,1,12
Fiat,131,,Red,Benzine,0,2.5,Manual,35.0,Qalyubia,1,45
Chevrolet,Optra,,Dark red,Benzine,14,2.5,Automatic,345.0,Giza,1,4
Hyundai,Accent HCI,,Red,Benzine,5,2.5,Automatic,530.0,Obour City,1,2
Fiat,Shahin,,White,Benzine,8,2.5,Manual,70.0,Damietta,1,18
Hyundai,Elantra AD,,Black,Benzine,8,2.5,Automatic,520.0,Cairo,1,4
Hyundai,Accent HCI,,Red,Benzine,5,2.5,Automatic,480.0,Alexandria,1,3
Fiat,Tipo,,Green,Benzine,2,2.5,Automatic,570.0,Agamy,1,1
Chevrolet,Aveo,,Black,Benzine,16,2.5,Manual,180.0,El Haram,1,12
Fiat,128,,White,Benzine,0,2.5,Manual,26.0,Aswan,1,40
Hyundai,Tiburon,,White,Benzine,0,2.5,Automatic,450.0,Helwan,1,11
